id_option,regle,alternative
1,36,37
2,83,85
2,84,85
2,83,86
2,84,86
3,88,89
4,175,176
4,175,177
5,206,215
5,207,215
5,208,215
5,209,215
5,210,215
5,211,215
5,212,215
5,213,215
5,214,215
5,206,216
5,206,217
5,206,218
5,206,219
5,206,220
5,206,221
5,206,222
5,206,223
5,207,216
5,207,217
5,207,218
5,207,219
5,207,220
5,207,221
5,207,222
5,207,223
5,208,216
5,208,217
5,208,218
5,208,219
5,208,220
5,208,221
5,208,222
5,208,223
5,209,216
5,209,217
5,209,218
5,209,219
5,209,220
5,209,221
5,209,222
5,209,223
5,210,216
5,210,217
5,210,218
5,210,219
5,210,220
5,210,221
5,210,222
5,210,223
5,211,216
5,211,217
5,211,218
5,211,219
5,211,220
5,211,221
5,211,222
5,211,223
5,212,216
5,212,217
5,212,218
5,212,219
5,212,220
5,212,221
5,212,222
5,212,223
5,213,216
5,213,217
5,213,218
5,213,219
5,213,220
5,213,221
5,213,222
5,213,223
5,214,216
5,214,217
5,214,218
5,214,219
5,214,220
5,214,221
5,214,222
5,214,223
